pokemon,tier,first_evolution_level,first_evolution,second_evolution_level,second_evolution
Deoxys,S,NA,NA,NA,NA
Jirachi,S,NA,NA,NA,NA
Rayquaza,S,NA,NA,NA,NA
Groudon,S,NA,NA,NA,NA
Kyogre,S,NA,NA,NA,NA
Latios,S,NA,NA,NA,NA
Latias,S,NA,NA,NA,NA
Registeel,S,NA,NA,NA,NA
Regice,S,NA,NA,NA,NA
Regirock,S,NA,NA,NA,NA
Beldum,B,20,Metang,45,Metagross
Bagon,B,30,Shelgon,50,Salamence
Luvdisc,D,NA,NA,NA,NA
Relicanth,D,NA,NA,NA,NA
Clamperl,C,30,Huntail,NA,NA
Spheal,C,32,Sealeo,44,Walrein
Snorunt F,C,42,Froslass,NA,NA
Snorunt M,C,42,Glalie,NA,NA
Absol,C,NA,NA,NA,NA
Chingling,F,25,Chimecho,NA,NA
Tropius,C,NA,NA,NA,NA
Ralts M,C,20,Kirlia M,30,Gallade
Duskull,C,37,Dusclops,55,Dusknoir
Shuppet,D,37,Banette,NA,NA
Kecleon,D,NA,NA,NA,NA
Castform,C,NA,NA,NA,NA
Feebas,C,30,Milotic,NA,NA
Anorith,C,40,Armaldo,NA,NA
Lileep,C,40,Cradily,NA,NA
Baltoy,D,36,Claydol,NA,NA
Corphish,C,30,Crawdaunt,NA,NA
Barboach,C,30,Whiscash,NA,NA
Solrock,D,NA,NA,NA,NA
Lunatone,D,NA,NA,NA,NA
Seviper,D,NA,NA,NA,NA
Zangoose,D,NA,NA,NA,NA
Swablu,C,35,Altaria,NA,NA
Cacnea,D,32,Cacturne,NA,NA
Trapinch,B,35,Vibrava,45,Flygon
Spinda,D,NA,NA,NA,NA
Spoink,D,32,Grumpig,NA,NA
Torkoal,D,NA,NA,NA,NA
Numel,C,33,Camerupt,NA,NA
Wailmer,D,40,Wailord,NA,NA
Carvanha,C,30,Sharpedo,NA,NA
Gulpin,D,26,Swalot,NA,NA
Budew,C,16,Roselia,32,Roserade
Illumise,D,NA,NA,NA,NA
Volbeat,D,NA,NA,NA,NA
Minun,E,NA,NA,NA,NA
Plusle,E,NA,NA,NA,NA
Electrike,D,26,Manectric,NA,NA
Meditite,D,37,Medicham,NA,NA
Aron,C,32,Lairon,42,Aggron
Mawile,C,NA,NA,NA,NA
Sableye,C,NA,NA,NA,NA
Skitty,D,24,Delcatty,NA,NA
Nosepass,D,25,Probopass,NA,NA
Makuhita,D,24,Hariyama,NA,NA
Whismur,E,20,Loudred,40,Exploud
Nincada,E,20,Ninjask,NA,NA
Slakoth,D,18,Vigoroth,36,Slaking
Shroomish,D,23,Breloom,NA,NA
Surskit,D,22,Masquerain,NA,NA
Ralts F,C,20,Kirlia F,30,Gardevoir
Wingull,D,25,Pelipper,NA,NA
Taillow,E,22,Swellow,NA,NA
Seedot,E,14,Nuzleaf,32,Shiftry
Lotad,E,14,Lombre,32,Ludicolo
Wurmple,F,7,Silcoon,10,Beautifly
Zigzagoon,F,20,Linoone,NA,NA
Poochyena,F,18,Mightyena,NA,NA
Mudkip,A,16,Marshtomp,36,Swampert
Torchic,A,16,Combusken,36,Blaziken
Treecko,A,16,Grovyle,36,Sceptile
