pokemon,tier,first_evolution_level,first_evolution,second_evolution_level,second_evolution,generation
Arceus,S,NA,NA,NA,NA,4
Shaymin-Sky,S,NA,NA,NA,NA,4
Shaymin-Land,S,NA,NA,NA,NA,4
Darkrai,S,NA,NA,NA,NA,4
Manaphy,S,NA,NA,NA,NA,4
Phione,S,NA,NA,NA,NA,4
Cresselia,S,NA,NA,NA,NA,4
Giratina,S,NA,NA,NA,NA,4
Regigigas,S,NA,NA,NA,NA,4
Heatran,S,NA,NA,NA,NA,4
Palkia,S,NA,NA,NA,NA,4
Dialga,S,NA,NA,NA,NA,4
Azelf,S,NA,NA,NA,NA,4
Mesprit,S,NA,NA,NA,NA,4
Uxie,S,NA,NA,NA,NA,4
Rotom-Mow,S,NA,NA,NA,NA,4
Rotom-Fan,S,NA,NA,NA,NA,4
Rotom-Frost,S,NA,NA,NA,NA,4
Rotom-Wash,S,NA,NA,NA,NA,4
Rotom-Heat,S,NA,NA,NA,NA,4
Rotom,S,NA,NA,NA,NA,4
Eevee7,B,20,Glaceon,NA,NA,4
Eevee6,B,20,Leafeon,NA,NA,4
Snover,C,40,Abomasnow,NA,NA,4
Finneon,D,31,Lumineon,NA,NA,4
Carnivine,E,NA,NA,NA,NA,4
Croagunk,D,37,Toxicroak,NA,NA,4
Skorupi,C,40,Drapion,NA,NA,4
Hippopotas,D,34,Hippowdon,NA,NA,4
Riolu,C,25,Lucario,NA,NA,4
Gible,B,24,Gabite,48,Garchomp,4
Spiritomb,C,NA,NA,NA,NA,4
Chatot,D,NA,NA,NA,NA,4
Bronzor,E,33,Bronzong,NA,NA,4
Stunky,D,34,Skuntank,NA,NA,4
Glameow,D,38,Purugly,NA,NA,4
Buneary,D,25,Lopunny,NA,NA,4
Drifloon,C,28,Drifblim,NA,NA,4
Shellos,D,30,Gastrodon,NA,NA,4
Cherubi,E,25,Cherrim,NA,NA,4
Buizel,D,26,Floatzel,NA,NA,4
Pachirisu,E,NA,NA,NA,NA,4
Combee,D,21,Vespiquen,NA,NA,4
Burmy M,D,20,Mothim,NA,NA,4
Burmy F,D,20,Wormadam,NA,NA,4
Shieldon,C,30,Bastiodon,NA,NA,4
Cranidos,C,30,Rampardos,NA,NA,4
Shinx,F,15,Luxio,30,Luxray,4
Kricketot,E,10,Kricketune,NA,NA,4
Bidoof,F,15,Bibarel,NA,NA,4
Starly,F,14,Staravia,34,Staraptor,4
Piplup,A,16,Prinplup,36,Empoleon,4
Chimchar,A,14,Monferno,36,Infernape,4
Turtwig,A,18,Grotle,32,Torterra,4
