pokemon,tier,first_evolution_level,first_evolution,second_evolution_level,second_evolution
Cleffa,E,16,Clefairy,32,Clefable
Igglybuff,E,16,Jigglypuff,32,Wigglytuff
Horsea,E,32,Seadra,42,Kingdra
Porygon,F,30,Porygon2,NA,NA
Elekid,C,30,Electabuzz,NA,NA
Magby,C,30,Magmar,NA,NA
Chansey,F,55,Blissey,NA,NA
Smoochum,F,30,Jynx,NA,NA
Scyther,C,40,Scizor,NA,NA
Onix,D,42,Steelix,NA,NA
Pichu,D,16,Pikachu,32,Raichu
Tyrogue1,C,20,Hitmonlee,NA,NA
Tyrogue2,C,20,Hitmonchan,NA,NA
Magnemite,D,30,Magneton,NA,NA
Lickitung,F,38,Lickilicky,NA,NA
Rhyhorn,B,42,Rhydon,NA,NA
Tangela,F,NA,NA,NA,NA
Snorlax,C,NA,NA,NA,NA
Mr. Mime,F,NA,NA,NA,NA
