pokemon,tier,first_evolution_level,first_evolution,second_evolution_level,second_evolution
Eevee5,B,20,Umbreon,NA,NA
Eevee4,B,20,Espeon,NA,NA
Celebi,S,NA,NA,NA,NA
Ho-Oh,S,NA,NA,NA,NA
Lugia,S,NA,NA,NA,NA
Larvitar,B,30,Pupitar,55,Tyrantiar
Suicune,S,NA,NA,NA,NA
Entei,S,NA,NA,NA,NA
Raikou,S,NA,NA,NA,NA
Miltank,D,NA,NA,NA,NA
Smeargle,D,NA,NA,NA,NA
Stantler,D,NA,NA,NA,NA
Phanpy,F,25,Donphan,NA,NA
Houndour,C,24,Houndoom,NA,NA
Skarmory,C,NA,NA,NA,NA
Delibird,D,NA,NA,NA,NA
Remoraid,C,25,Octillery,NA,NA
Corsola,D,NA,NA,NA,NA
Slugma,C,38,Magcargo,NA,NA
Teddiursa,C,30,Ursaring,NA,NA
Heracross,C,NA,NA,NA,NA
Shuckle,D,NA,NA,NA,NA
Qwilfish,C,NA,NA,NA,NA
Snubbull,D,23,Granbull,NA,NA
Dunsparce,D,NA,NA,NA,NA
Pineco,F,31,Forretress,NA,NA
Girafarig,D,NA,NA,NA,NA
Unown,E,NA,NA,NA,NA
Wooper,F,20,Quagsire,NA,NA
Sunkern,E,25,Sunflora,NA,NA
Hoppip,E,18,Skiploom,27,Jumpluff
Azurill,C,10,Marill,18,Azumarill
Mareep,F,15,Flaaffy,30,Ampharos
Natu,C,25,Xatu,NA,NA
Chinchou,C,27,Lanturn,NA,NA
Spinarak,F,22,Ariados,NA,NA
Ledyba,F,18,Ledian,NA,NA
Hoothoot,F,20,Noctowl,NA,NA
Sentret,F,15,Furret,NA,NA
Totodile,A,18,Croconaw,30,Feraligatr
Cyndaquil,A,14,Quilava,36,Typhlosion
Chikorita,A,16,Bayleef,32,Meganium
Tyrogue3,C,20,Hitmontop,NA,NA
Slowpoke2,E,37,Slowking,NA,NA
